customer_id,company_name,building_name,city,contact
C001,ABC Company,ABC Tower,Dammam,501234567
C002,Al Noor Group,Noor Plaza,Khobar,509876543
C003,ABC Company,ABC Tower,Dammam,501234567
C004,ABC Company,ABC Tower,Dammam,501234567
C005,ABC Company,ABC Tower,Dammam,501234567
C006,ABC Company,ABC Tower,Dammam,501234567
C007,ABC Company,ABC Tower,Dammam,501234567
C008,ABC Company,ABC Tower,Dammam,501234567
C009,ABC Company,ABC Tower,Dammam,501234567
C010,ABC Company,ABC Tower,Dammam,501234567
C011,ABC Company,ABC Tower,Dammam,501234567
C012,ABC Company,ABC Tower,Dammam,501234567
C013,ABC Company,ABC Tower,Dammam,501234567
C014,ABC Company,ABC Tower,Dammam,501234567
C015,ABC Company,ABC Tower,Dammam,501234567
C016,ABC Company,ABC Tower,Dammam,501234567
C017,ABC Company,ABC Tower,Dammam,501234567
C018,ABC Company,ABC Tower,Dammam,501234567
C019,ABC Company,ABC Tower,Dammam,501234567
C020,ABC Company,ABC Tower,Dammam,501234567
C021,ABC Company,ABC Tower,Dammam,501234567
C022,ABC Company,ABC Tower,Dammam,501234567
C023,ABC Company,ABC Tower,Dammam,501234567
C024,ABC Company,ABC Tower,Dammam,501234567
C025,ABC Company,ABC Tower,Dammam,501234567
C026,ABC Company,ABC Tower,Dammam,501234567
C027,ABC Company,ABC Tower,Dammam,501234567
C028,ABC Company,ABC Tower,Dammam,501234567
C029,ABC Company,ABC Tower,Dammam,501234567
C030,ABC Company,ABC Tower,Dammam,501234567
C031,ABC Company,ABC Tower,Dammam,501234567
C032,ABC Company,ABC Tower,Dammam,501234567
C033,ABC Company,ABC Tower,Dammam,501234567
C034,ABC Company,ABC Tower,Dammam,501234567
C035,ABC Company,ABC Tower,Dammam,501234567
C036,ABC Company,ABC Tower,Dammam,501234567
C037,ABC Company,ABC Tower,Dammam,501234567
C038,ABC Company,ABC Tower,Dammam,501234567
C039,ABC Company,ABC Tower,Dammam,501234567
C040,ABC Company,ABC Tower,Dammam,501234567
C041,ABC Company,ABC Tower,Dammam,501234567
C042,ABC Company,ABC Tower,Dammam,501234567
C043,ABC Company,ABC Tower,Dammam,501234567
C044,ABC Company,ABC Tower,Dammam,501234567
C045,ABC Company,ABC Tower,Dammam,501234567
C046,ABC Company,ABC Tower,Dammam,501234567
C047,ABC Company,ABC Tower,Dammam,501234567
C048,ABC Company,ABC Tower,Dammam,501234567
C049,ABC Company,ABC Tower,Dammam,501234567
C050,ABC Company,ABC Tower,Dammam,501234567
